,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
0,Argentina,South America,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1.0,0.9,9.8,0,1,75.9
1,Argentina,South America,2005,14.8,16.5,131.475,7.6,88,88,26.6,95,98,0.15,11192,38.89,1.1,1.0,9.1,0,1,74.5
2,Argentina,South America,2002,16.4,18.3,136.066,7.81,66,83,26.3,94,93,0.15,8943,37.68,1.2,1.0,9.2,0,1,73.9
3,Argentina,South America,2001,16.9,18.9,137.696,7.76,73,56,26.2,85,83,0.16,10146,37.28,1.2,1.1,9.1,0,1,73.8
4,Argentina,South America,2012,11.9,13.3,121.2325,8.0,91,89,27.3,90,91,0.14,13896,41.73,1.0,0.9,9.8,0,1,75.6
5,Argentina,South America,2013,11.3,12.7,119.885,8.27,94,83,27.4,90,94,0.14,14072,42.2,1.0,0.9,9.8,0,1,75.8
6,Argentina,South America,2004,15.3,17.1,133.0055,7.63,81,93,26.5,91,98,0.15,10389,38.49,1.1,1.0,9.2,0,1,74.3
7,Argentina,South America,2011,12.4,13.9,122.669,7.69,91,91,27.2,93,91,0.14,14200,41.26,1.0,0.9,9.8,0,1,75.4
8,Argentina,South America,2006,14.4,16.1,129.945,7.8,84,91,26.7,92,91,0.15,11971,39.29,1.1,0.9,9.0,0,1,74.6
9,Argentina,South America,2009,13.3,14.9,125.542,8.34,94,96,27.0,97,94,0.14,12398,40.48,1.0,0.9,9.3,0,1,75.1
10,Argentina,South America,2007,14.0,15.7,128.4145,8.16,85,84,26.8,92,91,0.15,12919,39.68,1.1,0.9,8.9,0,1,74.8
